,Kilometers,cars_model,Year,Owner_Type,Insurance_Date,Insurance_Type,RTO,Fuel_Type,Transmission_Type,Price
1796,"30,490 km",2017 Hyundai Grand i10 magna 1.2 crdi,February 2015,First Owner,NA,Zero Depreciation,UP16,Petrol,MANUAL,"₹ 335,930"
1797,"57,734 km",2011 Chevrolet Beat LT PETROL,November 2013,Second Owner,9/12/2021,Comprehensive,DL10,Diesel,MANUAL,"₹ 128,602"
1798,"73,203 km",2016 Mahindra Kuv100 K2 D 6 STR,October 2011,Second Owner,27/5/2021,Insurance Expired,DL8C,Petrol + CNG,MANUAL,"₹ 300,000"
1799,"31,878 km",2006 Maruti Esteem LXI,February 2014,First Owner,NA,Zero Depreciation,DL9C,Diesel,MANUAL,"₹ 40,000"
1800,"84,195 km",2011 Ford Figo 1.4 TITANIUM DURATORQ,January 2012,First Owner,22/1/2021,Insurance Expired,DL4C,Petrol,MANUAL,"₹ 140,834"
1801,"29,711 km",2016 Maruti Wagon R 1.0 VXI,October 2016,First Owner,NA,Third_party,DL12,Petrol,MANUAL,"₹ 325,000"
1802,"26,420 km",2020 Maruti Celerio ZXI ,October 2012,First Owner,14/10/2020,Expired,DL2C,Petrol,MANUAL,"₹ 510,000"
1803,"16,938 km",2012 Ford Fiesta Classic 1.6 LXI,September 2017,First Owner,NA,Comprehensive,DL1C,Petrol + CNG,MANUAL,"₹ 170,000"
1804,"41,567 km",2014 Nissan Terrano XL 110 DIESEL,March 2013,First Owner,5/5/2021,Comp,DL2C,Diesel,MANUAL,"₹ 410,000"
1805,"8,785 km",2010 Hyundai i20 SPORTZ 1.2 O,November 2018,First Owner,28/12/2020,Zero_Dep,BR2N,Petrol,MANUAL,"₹ 184,000"
1806,"39,642 km",2015 Maruti Eeco 5 STR CNG WITH AC PLUSHTR,September 2017,First Owner,6/11/2020,Insurance Expired,DL1C,Petrol,MANUAL,"₹ 200,000"
1807,"46,719 km",2016 Renault Kwid RXT,October 2015,First Owner,NA,Zero_Dep,HR88,Diesel,MANUAL,"₹ 159,000"
1808,"81,647 km",2016 Maruti Baleno DELTA 1.2 K12 ,August 2011,Second Owner,29/7/2021,Insurance Expired,DL10,Petrol + CNG,MANUAL,"₹ 450,000"
1809,"41,075 km",2015 Maruti Ciaz ZXI PLUS,March 2017,First Owner,NA,Comprehensive,DL8C,Diesel,MANUAL,"₹ 625,000"
1810,"77,110 km",2011 Honda City S MT PETROL,June 2011,Third Owner,9/9/2021,Comp,UP32,Petrol + CNG,MANUAL,"₹ 280,000"
1811,"48,993 km",2016 Maruti Ciaz VXI PLUS,April 2016,First Owner,14/5/2021,Zero_Dep,DL11,Diesel,MANUAL,"₹ 600,000"
1812,"53,668 km",2019 Toyota Glanza G MT PETROL,August 2006,First Owner,19/6/2021,Expired,DL3C,Petrol,MANUAL,"₹ 712,500"
1813,"76,328 km",2009 Maruti Swift VXI 1.3,July 2011,First Owner,NA,Insurance Expired,DL7C,Diesel,MANUAL,"₹ 129,000"
1814,"28,226 km",2011 Hyundai i10 MAGNA 1.2 KAPPA2,May 2016,First Owner,27/2/2023,Comp,DL4C,Petrol,MANUAL,"₹ 170,000"
1815,"3,533 km",2012 Hyundai Santro Xing GL PLUS,January 2020,First Owner,NA,Zero_Dep,HR51,Petrol,MANUAL,"₹ 136,000"
1816,"51,820 km",2010 Hyundai Accent EXECUTIVE GLE,February 2012,Second Owner,13/6/2021,Comprehensive,HR51,Petrol + CNG,MANUAL,"₹ 92,500"
1817,"50,783 km",2016 Hyundai Grand i10 MAGNA 1.2 VTVT,January 2014,First Owner,6/4/2021,Zero Depreciation,DL1C,Diesel,MANUAL,"₹ 350,000"
1818,"66,741 km",2011 Maruti Ritz LDI ,December 2010,First Owner,8/11/2021,Expired,DL5C,Petrol,MANUAL,"₹ 132,000"
1819,"59,331 km",2017 Maruti Swift VDI ABS,November 2015,First Owner,NA,Third_party,HR26,Petrol + CNG,MANUAL,"₹ 494,000"
1820,"80,031 km",2010 Hyundai i10 ERA 1.1 IRDE,July 2016,Third Owner,4/5/2021,Expired,UP12,Petrol + CNG,MANUAL,"₹ 100,476"
1821,"30,323 km",2014 Tata Nano XT TWIST,April 2016,First Owner,NA,Zero Depreciation,DL7C,Petrol,MANUAL,"₹ 85,500"
1822,"3,772 km",2011 Mahindra Thar CRDE 4X4 BS IV,February 2015,First Owner,20/3/2021,Comp,DL3C,Petrol,MANUAL,"₹ 300,000"
1823,"65,915 km",2011 Maruti Wagon R 1.0 LXI CNG,March 2011,First Owner,17/8/2021,Comprehensive,DL9C,Petrol,MANUAL,"₹ 170,000"
1824,"29,573 km",2013 Maruti Ertiga VXI,March 2016,First Owner,15/6/2021,Zero Depreciation,DL12,Petrol,MANUAL,"₹ 430,000"
1825,"6,949 km",2012 Toyota Innova 2.5 GX 7 STR BS IV,August 2019,First Owner,4/9/2022,Zero Depreciation,DL3C,Petrol,MANUAL,"₹ 545,830"
1826,"71,346 km",2010 Hyundai i20 MAGNA 1.2 VTVT,April 2009,Third Owner,6/9/2021,3rd Party,HR05,Petrol + CNG,NA,"₹ 235,000"
1827,"74,238 km",2018 Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,December 2011,First Owner,2/1/2021,Comp,DL12,Petrol,MANUAL,"₹ 400,000"
1828,"66,144 km",2011 Volkswagen Polo TRENDLINE 1.2L DIESEL,March 2012,First Owner,12/8/2021,Insurance Expired,DL3C,Petrol,MANUAL,"₹ 160,000"
1829,"72,515 km",2016 Renault Kwid RXT,July 2010,Third Owner,NA,Comp,UP16,Petrol + CNG,MANUAL,"₹ 255,000"
1830,"39,522 km",2015 Mahindra TUV300 T8,February 2016,Second Owner,27/10/2021,Zero Depreciation,DL12,Petrol + CNG,MANUAL,"₹ 530,000"
1831,"71,414 km",2010 Hyundai Accent EXECUTIVE GLE,June 2011,First Owner,1/12/2021,Comp,DL7C,Diesel,MANUAL,"₹ 120,000"
1832,"37,405 km",2010 Hyundai i20 MAGNA 1.2 VTVT,August 2017,First Owner,26/12/2020,Expired,DL3C,Diesel,MANUAL,"₹ 174,000"
1833,"32,022 km",2015 Hyundai Elite i20 ASTA 1.2 (O),August 2010,Third Owner,NA,Insurance Expired,DL10,Petrol,MANUAL,"₹ 480,000"
1834,"60,055 km",2019 Maruti Swift VXI,May 2014,First Owner,8/1/2021,Comp,DL14,Petrol,MANUAL,"₹ 600,000"
1835,"56,384 km",2012 Nissan Sunny XL PETROL,May 2011,Third Owner,NA,Expired,HR26,Diesel,MANUAL,"₹ 195,000"
1836,"75,835 km",2016 Maruti Baleno DELTA 1.2 K12 ,August 2011,Second Owner,21/2/2021,Expired,DL8C,Petrol + CNG,MANUAL,"₹ 444,000"
1837,"46,869 km",2010 Maruti Zen Estilo LXI,October 2013,Second Owner,NA,Comprehensive,DL2C,Petrol + CNG,MANUAL,"₹ 115,000"
1838,"56,039 km",2011 Maruti Swift Dzire VXI 1.2 BS IV,October 2012,Second Owner,9/8/2021,Comprehensive,DL12,Diesel,MANUAL,"₹ 200,000"
1839,"43,420 km",2015 Maruti Swift Dzire ZXI 1.2 BS IV,January 2010,First Owner,NA,Comp,DL8C,Petrol,MANUAL,"₹ 421,572"
1840,"18,165 km",2011 Chevrolet Beat LS DIESEL,October 2018,First Owner,21/11/2021,3rd Party,DL9C,Petrol,MANUAL,"₹ 80,000"
1841,"77,895 km",2014 Maruti Swift VXI,November 2011,First Owner,17/11/2020,Expired,DL6C,Diesel,MANUAL,"₹ 325,000"
1842,"14,912 km",2017 Ford New Figo 1.2 TITANIUM,October 2016,First Owner,NA,Zero Depreciation,DL8C,Petrol,MANUAL,"₹ 455,304"
1843,"43,545 km",2017 Renault Kwid CLIMBER 1.0 AT,September 2015,First Owner,21/3/2021,Insurance Expired,DL8C,Diesel,MANUAL,"₹ 325,000"
1844,"67,028 km",2016 Renault Kwid RXT Opt,September 2010,Second Owner,NA,Expired,DL8C,Petrol,MANUAL,"₹ 300,000"
1845,"60,979 km",2017 Maruti Vitara Brezza VDI OPT,February 2010,First Owner,27/11/2021,Comp,DL5C,Petrol,MANUAL,"₹ 605,000"
1846,"35,465 km",2018 Maruti Swift VXI,August 2015,First Owner,NA,Expired,DL14,Petrol,MANUAL,"₹ 550,000"
1847,"3,248 km",2011 Maruti Ritz VXI BS IV,October 2019,First Owner,10/2/2021,Zero Depreciation,DL1C,Petrol,MANUAL,"₹ 200,000"
1848,"60,083 km",2014 Maruti Celerio VXI ,March 2012,Second Owner,NA,Third_party,DL9C,Petrol,MANUAL,"₹ 290,000"
1849,"37,878 km",2015 Maruti Alto 800 LXI,November 2016,First Owner,9/10/2020,Expired,DL2C,Petrol,MANUAL,"₹ 220,000"
1850,"47,990 km",2012 Tata Indigo ECS LX CR4 BS IV,September 2010,Second Owner,NA,Third_party,DL4C,Petrol,MANUAL,"₹ 55,000"
1851,"51,112 km",2019 Maruti Ertiga VXI SMART HYBRID,April 2011,Second Owner,18/8/2021,Comprehensive,DL2C,Petrol,MANUAL,"₹ 810,000"
1852,"45,120 km",2008 Hyundai i10 ERA,July 2015,First Owner,22/11/2021,Comprehensive,DL7C,Petrol,MANUAL,"₹ 115,000"
1853,"92,933 km",2011 Hyundai i10 MAGNA 1.1 IRDE2,September 2011,First Owner,16/11/2020,3rd Party,DL3C,Diesel,MANUAL,"₹ 176,000"
1854,"49,063 km",2013 Mahindra Scorpio SLE BS IV,March 2014,First Owner,29/10/2021,Comp,DL4C,Petrol,MANUAL,"₹ 430,000"
1855,"18,290 km",2013 Maruti Swift ZXI,August 2017,First Owner,20/2/2022,3rd Party,DL8C,Petrol,MANUAL,"₹ 308,000"
1856,"24,405 km",2018 Hyundai Elite i20 Magna Executive 1.2,June 2017,First Owner,29/9/2020,Third_party,DL8C,Petrol,MANUAL,"₹ 548,044"
1857,"17,242 km",2018 Hyundai Elite i20 ERA 1.4 CRDI,July 2016,First Owner,21/8/2021,Comp,DL3C,Petrol,NA,"₹ 580,000"
1858,"21,937 km",2011 Maruti Ritz VXI BS IV,August 2017,First Owner,9/8/2021,Third_party,DL9C,Diesel,MANUAL,"₹ 180,000"
1859,"15,161 km",2017 Renault Kwid RXT,June 2018,First Owner,30/10/2021,3rd Party,DL8C,Petrol,MANUAL,"₹ 225,000"
1860,"78,944 km",2011 Hyundai Santro Xing GL PLUS,April 2011,Second Owner,17/10/2020,Insurance Expired,HR26,Petrol,MANUAL,"₹ 120,000"
1861,"54,953 km",2016 Maruti Alto 800 VXI,September 2014,First Owner,NA,Zero_Dep,DL12,Petrol,MANUAL,"₹ 230,000"
1862,"20,971 km",2016 Hyundai Verna FLUIDIC 1.6 SX VTVT,March 2015,First Owner,27/4/2021,Comprehensive,DL8C,Petrol,MANUAL,"₹ 600,000"
1863,"108,032 km",2016 Maruti Baleno ZETA 1.2 K12 CVT,January 2012,Second Owner,15/1/2021,Insurance Expired,DL12,Diesel,MANUAL,"₹ 580,000"
1864,"4,813 km",2010 Maruti Ritz LXI ,January 2019,First Owner,15/9/2021,Zero Depreciation,DL9C,Petrol,MANUAL,"₹ 170,000"
1865,"44,143 km",2009 Maruti SX4 VXI,April 2008,Second Owner,NA,Expired,HR26,Petrol,MANUAL,"₹ 126,754"
1866,"68,405 km",2011 Maruti Ritz LDI ,February 2011,Second Owner,8/3/2021,Comp,DL1C,Petrol,MANUAL,"₹ 145,000"
1867,"44,291 km",2011 Toyota Etios G,January 2013,Third Owner,NA,Insurance Expired,DL4C,Diesel,MANUAL,"₹ 165,000"
1868,"51,002 km",2012 Mahindra XUV500 W8 FWD,February 2013,First Owner,7/6/2021,Insurance Expired,DL7C,Petrol,MANUAL,"₹ 500,000"
1869,"12,963 km",2013 Hyundai i20 SPORTZ 1.4 AT VTVT,June 2018,First Owner,NA,Zero_Dep,DL10,Petrol,MANUAL,"₹ 345,000"
1870,"19,996 km",2015 Maruti Eeco 5 STR CNG WITH AC PLUSHTR,January 2018,Second Owner,8/3/2021,Zero_Dep,DL4C,Diesel,MANUAL,"₹ 230,000"
1871,"63,389 km",2016 Maruti Swift Dzire LDI BS IV,October 2011,Second Owner,NA,Expired,DL9C,Petrol,MANUAL,"₹ 385,819"
1872,"50,163 km",2016 Chevrolet Enjoy 1.3 LS 8 STR,February 2017,First Owner,15/4/2021,Comp,DL1C,Petrol,MANUAL,"₹ 370,000"
1873,"58,745 km",2009 Honda City 1.5 E MT PETROL,October 2011,Second Owner,NA,3rd Party,DL4C,Petrol + CNG,MANUAL,"₹ 177,000"
1874,"35,537 km",2012 Hyundai Verna FLUIDIC 1.4 EX CRDI,December 2016,First Owner,20/12/2021,Zero_Dep,DL3C,Petrol,NA,"₹ 300,000"
1875,"15,505 km",2011 Chevrolet Cruze LTZ AT,March 2016,First Owner,4/6/2021,Zero Depreciation,DL9C,Petrol + CNG,MANUAL,"₹ 270,000"
1876,"27,895 km",2018 Honda Amaze 1.2 V MT I-VTEC,May 2016,First Owner,17/5/2021,Zero Depreciation,HR93,Petrol,MANUAL,"₹ 618,260"
1877,"36,899 km",2017 Maruti Baleno ALPHA 1.2 K12 ,April 2010,Second Owner,11/12/2020,3rd Party,DL2C,Petrol,NA,"₹ 590,000"
1878,"97,881 km",2017 Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT,July 2009,Third Owner,10/2/2021,Expired,DL8C,Petrol + CNG,MANUAL,"₹ 361,000"
1879,"95,436 km",2017 Ford Ecosport 1.5 TREND TDCI,August 2011,First Owner,NA,Expired,DL9C,Diesel,MANUAL,"₹ 600,000"
1880,"70,883 km",2016 Maruti Wagon R 1.0 LXI CNG,April 2011,Second Owner,17/10/2021,Third_party,DL1C,Petrol + CNG,MANUAL,"₹ 250,000"
1881,"52,794 km",2016 Maruti Swift VXI,October 2012,First Owner,NA,Comp,DL8C,Diesel,MANUAL,"₹ 409,193"
1882,"52,103 km",2018 Maruti Eeco 5 STR CNG WITH AC PLUSHTR,October 2013,First Owner,29/12/2020,Comp,DL3C,Petrol,MANUAL,"₹ 335,000"
1883,"19,468 km",2014 Hyundai Santro Xing GL PLUS,April 2015,First Owner,23/7/2021,3rd Party,DL3C,Petrol + CNG,NA,"₹ 215,000"
1884,"48,321 km",2012 Maruti Ertiga ZDI,September 2016,First Owner,21/10/2020,Insurance Expired,DL8C,Diesel,MANUAL,"₹ 400,000"
1885,"17,621 km",2010 Maruti Eeco 5 STR WITH AC PLUSHTR,April 2016,First Owner,NA,Zero Depreciation,DL2C,Diesel,MANUAL,"₹ 100,000"
1886,"89,122 km",2018 Honda Amaze 1.2 V MT I-VTEC,February 2009,Second Owner,18/11/2020,Comp,DL4C,Petrol + CNG,MANUAL,"₹ 670,000"
1887,"85,423 km",2013 Hyundai New Elantra BASE 1.6,June 2012,First Owner,27/3/2021,Comprehensive,DL8C,Diesel,NA,"₹ 470,000"
1888,"70,002 km",2014 Honda Amaze 1.2 VXAT I VTEC,November 2011,Second Owner,15/10/2021,Insurance Expired,UP16,Diesel,AUTOMATIC,"₹ 400,000"
1889,"21,450 km",2013 Honda Amaze 1.5 EXMT I DTEC,August 2018,First Owner,13/11/2021,Zero Depreciation,DL3C,Petrol,MANUAL,"₹ 254,502"
1890,"20,501 km",2019 Renault Kwid RXL,October 2017,First Owner,NA,Zero Depreciation,DL12,Petrol,MANUAL,"₹ 355,000"
1891,"43,396 km",2010 Mercedes Benz C Class 200 CGI AT CLASSIC,April 2017,First Owner,1/8/2021,Comp,DL9C,Petrol,NA,"₹ 650,000"
1892,"33,168 km",2019 Honda Amaze 1.2 V MT I-VTEC,July 2017,First Owner,19/11/2020,Insurance Expired,DL11,Diesel,MANUAL,"₹ 630,000"
1893,"63,932 km",2011 Toyota Corolla Altis D 4D G,October 2016,Second Owner,NA,3rd Party,DL7C,Petrol + CNG,MANUAL,"₹ 325,000"
1894,"43,442 km",2018 Hyundai Elite i20 ASTA 1.2 (O),May 2016,First Owner,28/12/2021,Insurance Expired,HR13,Petrol,MANUAL,"₹ 700,000"
1895,"28,907 km",2015 Hyundai Elite i20 MAGNA 1.4 CRDI,December 2018,First Owner,NA,3rd Party,HR10,Petrol + CNG,MANUAL,"₹ 460,000"
1896,"44,639 km",2011 Volkswagen Vento HIGHLINE PETROL,March 2014,First Owner,21/9/2021,Expired,DL9C,Petrol,MANUAL,"₹ 190,000"
1897,"54,789 km",2014 Hyundai Grand i10 ASTA 1.2 KAPPA VTVT OPT,June 2012,First Owner,17/6/2021,Expired,DL7C,Diesel,MANUAL,"₹ 364,000"
1898,"42,829 km",2013 Maruti Alto 800 VXI,November 2010,First Owner,NA,Insurance Expired,DL3C,Petrol,MANUAL,"₹ 207,000"
1899,"12,263 km",2017 Datsun Go T,June 2018,First Owner,22/8/2021,Zero_Dep,DL3C,Petrol,MANUAL,"₹ 280,000"
1900,"56,232 km",2008 Hyundai i10 SPORTZ 1.2,April 2013,First Owner,NA,Comp,DL4C,Diesel,AUTOMATIC,"₹ 150,500"
1901,"50,150 km",2019 Maruti Alto LXI,July 2014,Second Owner,22/9/2020,Comprehensive,DL9C,Petrol,MANUAL,"₹ 300,000"
1902,"54,175 km",2016 Tata Tiago XT 1.05 REVOTORQ,August 2013,First Owner,NA,3rd Party,DL10,Diesel,MANUAL,"₹ 300,586"
1903,"2,224 km",2017 Honda Jazz 1.2 V AT,November 2019,First Owner,23/2/2021,Zero_Dep,DL4C,Petrol,NA,"₹ 550,000"
1904,"2,774 km",2011 Hyundai i10 MAGNA 1.2 KAPPA2,December 2010,Second Owner,5/6/2022,Insurance Expired,DL10,Petrol,MANUAL,"₹ 180,800"
1905,"15,346 km",2010 Audi A6 2.7 TDI,April 2019,First Owner,14/1/2021,Third_party,DL1C,Petrol,MANUAL,"₹ 700,000"
1906,"73,265 km",2012 Mahindra Scorpio SLE BS IV,June 2011,First Owner,NA,Expired,DL3C,Diesel,MANUAL,"₹ 400,000"
1907,"11,923 km",2013 Ford Figo 1.4 EXI DURATORQ ,April 2018,First Owner,31/8/2020,Zero Depreciation,DL10,Petrol,MANUAL,"₹ 146,000"
1908,"57,425 km",2010 Maruti Wagon R 1.0 VXI,August 2015,First Owner,NA,Expired,DL9C,Diesel,NA,"₹ 150,909"
1909,"71,047 km",2013 Hyundai i20 MAGNA 1.2 VTVT,January 2011,First Owner,8/7/2021,Comprehensive,UP70,Petrol,MANUAL,"₹ 270,000"
1910,"25,841 km",2016 Maruti Swift LXI OPT,January 2014,First Owner,19/5/2021,Comp,DL12,Petrol,NA,"₹ 500,000"
1911,"45,615 km",2015 Maruti Ciaz VDI+ SHVS,June 2013,First Owner,2/9/2021,Comprehensive,DL8C,Petrol,MANUAL,"₹ 488,131"
1912,"4,381 km",2012 Mahindra Scorpio SLE BS IV,July 2017,First Owner,17/12/2022,Expired,HR51,Petrol,MANUAL,"₹ 451,250"
1913,"43,174 km",2015 Maruti Swift LXI OPT,July 2008,Second Owner,NA,Expired,DL8C,Petrol,MANUAL,"₹ 360,000"
1914,"19,427 km",2011 Nissan Micra XV DIESEL,December 2019,First Owner,28/11/2020,Zero_Dep,DL8C,Petrol,MANUAL,"₹ 108,000"
1915,"42,855 km",2017 Mahindra Kuv100 K4+ D 6 STR,July 2016,First Owner,NA,Comprehensive,DL7C,Diesel,MANUAL,"₹ 300,000"
1916,"23,499 km",2011 Maruti Swift Dzire VXI 1.2 BS IV,January 2017,Second Owner,19/2/2021,Zero Depreciation,DL8C,Petrol,AUTOMATIC,"₹ 225,000"
1917,"61,482 km",2017 Maruti Eeco 5 STR CNG WITH AC PLUSHTR,December 2011,Third Owner,17/1/2021,Insurance Expired,DL6C,Petrol,MANUAL,"₹ 295,000"
1918,"21,226 km",2018 Hyundai Grand i10 Sportz1.2 CRDI,December 2010,First Owner,NA,Comprehensive,HR29,Diesel,AUTOMATIC,"₹ 425,000"
1919,"54,959 km",2017 Mahindra XUV500 W6 4X2,August 2012,Second Owner,15/8/2021,Insurance Expired,DL12,Diesel,MANUAL,"₹ 850,000"
1920,"68,296 km",2012 Hyundai i20 ERA 1.4 CRDI,June 2013,Second Owner,NA,Comp,DL8C,Diesel,MANUAL,"₹ 250,000"
1921,"65,882 km",2012 Maruti Swift Dzire VDI BS IV,July 2010,Second Owner,15/4/2021,Insurance Expired,DL8C,Petrol,MANUAL,"₹ 310,000"
1922,"31,338 km",2014 Maruti Swift VXI,May 2013,Second Owner,NA,Comp,DL5C,Petrol,MANUAL,"₹ 351,000"
1923,"8,661 km",2012 Hyundai Verna FLUIDIC 1.6 SX CRDI,September 2016,First Owner,27/9/2021,Comprehensive,DL4C,Petrol,MANUAL,"₹ 450,000"
1924,"44,670 km",2012 Maruti Ritz VDI ,November 2015,First Owner,27/11/2020,Zero Depreciation,DL12,Diesel,MANUAL,"₹ 200,000"
1925,"64,881 km",2013 Maruti Swift VDI,December 2012,First Owner,6/1/2021,3rd Party,DL9C,Diesel,MANUAL,"₹ 360,000"
1926,"29,010 km",2018 Maruti Dzire VDI,July 2015,Second Owner,25/6/2021,Comp,DL6C,Petrol,MANUAL,"₹ 600,000"
1927,"69,593 km",2019 Maruti Alto LXI,May 2011,Second Owner,26/7/2021,3rd Party,DL11,Diesel,MANUAL,"₹ 320,000"
1928,"34,045 km",2017 Maruti Alto K10 LXI,June 2017,First Owner,8/7/2021,Insurance Expired,DL2C,Diesel,MANUAL,"₹ 287,675"
1929,"41,050 km",2013 Maruti Swift Dzire LDI BS IV,January 2011,Second Owner,NA,Expired,DL8C,Petrol,MANUAL,"₹ 354,000"
1930,"32,071 km",2018 Maruti Swift VXI,July 2017,Second Owner,3/3/2021,Comprehensive,DL2C,Petrol + CNG,MANUAL,"₹ 600,000"
1931,"60,003 km",2011 Tata Nano CX,January 2018,First Owner,NA,Zero Depreciation,DL4C,Diesel,MANUAL,"₹ 55,000"
1932,"25,010 km",2016 Maruti Ertiga VDI SHVS,May 2017,Second Owner,27/8/2021,Zero Depreciation,DL2C,Diesel,MANUAL,"₹ 630,763"
1933,"56,749 km",2018 Maruti Eeco 5 STR CNG WITH AC PLUSHTR,January 2012,First Owner,18/2/2021,3rd Party,DL8C,Diesel,MANUAL,"₹ 319,801"
1934,"63,096 km",2020 Maruti Alto VXI,November 2012,First Owner,20/11/2021,Comp,DL2C,Diesel,MANUAL,"₹ 400,000"
1935,"53,741 km",2017 Hyundai Grand i10 MAGNA 1.2 VTVT,February 2014,Second Owner,27/8/2021,3rd Party,DL8C,Petrol,MANUAL,"₹ 366,000"
1936,"24,530 km",2012 Maruti Ritz VXI BS IV,August 2012,First Owner,19/10/2021,Comprehensive,DL6C,Diesel,MANUAL,"₹ 300,000"
1937,"60,388 km",2015 Honda Jazz 1.2 V AT,March 2012,Second Owner,22/1/2021,Comp,DL4C,Diesel,MANUAL,"₹ 495,385"
1938,"44,696 km",2016 Mahindra Kuv100 K4+ 6 STR,November 2013,Second Owner,15/1/2021,Comprehensive,DL8C,Diesel,MANUAL,"₹ 300,000"
1939,"22,097 km",2014 Maruti Swift Dzire VXI 1.2 BS IV,August 2018,First Owner,23/8/2021,Comp,UP16,Diesel,MANUAL,"₹ 425,000"
1940,"6,705 km",2010 Hyundai i20 Magna O 1.2,November 2019,First Owner,23/11/2021,Zero Depreciation,DL8C,Petrol,MANUAL,"₹ 178,437"
1941,"32,221 km",2017 Maruti Vitara Brezza VDI,July 2017,First Owner,26/9/2021,Zero Depreciation,DL8C,Petrol,MANUAL,"₹ 690,000"
1942,"23,688 km",2014 Maruti Wagon R 1.0 LXI,November 2013,First Owner,27/11/2020,Comprehensive,DL14,Diesel,MANUAL,"₹ 255,000"
1943,"9,066 km",2014 Honda Amaze 1.5 EMT I DTEC,August 2018,First Owner,30/10/2021,Zero Depreciation,UP87,Petrol,MANUAL,"₹ 250,000"
1944,"37,032 km",2009 Maruti Swift VXI 1.3,December 2011,First Owner,15/11/2020,Insurance Expired,DL4C,Petrol,MANUAL,"₹ 130,000"
1945,"17,215 km",2017 Hyundai Grand i10 Sportz1.2 CRDI,October 2016,First Owner,NA,Zero Depreciation,MH04,Diesel,MANUAL,"₹ 400,000"
1946,"22,978 km",2015 Maruti Swift VXI,May 2018,Second Owner,19/5/2021,Zero Depreciation,DL8C,Petrol + CNG,MANUAL,"₹ 380,000"
1947,"8,092 km",2012 Fiat Linea DYNAMIC 1.3,January 2020,First Owner,5/2/2021,Zero Depreciation,HR06,Petrol,MANUAL,"₹ 155,000"
1948,"55,915 km",2015 Maruti Swift Dzire VXI 1.2 BS IV,January 2017,First Owner,27/7/2021,Insurance Expired,DL9C,Petrol,MANUAL,"₹ 425,000"
1949,"17,277 km",2012 Maruti Wagon R 1.0 VXI,May 2012,First Owner,NA,Comprehensive,DL9C,Petrol,MANUAL,"₹ 300,000"
1950,"23,485 km",2018 Maruti Baleno DELTA 1.2 K12 ,July 2015,First Owner,6/8/2021,Comp,DL11,Petrol,AUTOMATIC,"₹ 535,000"
1951,"16,137 km",2012 Maruti Ertiga VDI,April 2016,Third Owner,7/8/2021,Insurance Expired,HR26,Petrol,MANUAL,"₹ 380,000"
1952,"12,857 km",2016 Maruti Swift Dzire VXI 1.2 BS IV,June 2014,Third Owner,NA,Expired,DL1C,Petrol,MANUAL,"₹ 381,027"
1953,"50,813 km",2011 Ford Figo 1.4 ZXI DURATORQ ,July 2010,First Owner,20/5/2021,Comprehensive,DL4C,Petrol,MANUAL,"₹ 135,000"
1954,"26,540 km",2014 Maruti Swift Dzire VXI 1.2 BS IV,April 2017,First Owner,NA,Third_party,DL9C,Diesel,MANUAL,"₹ 409,000"
1955,"51,232 km",2018 Maruti Eeco 5 STR WITH AC PLUSHTR,May 2014,Second Owner,25/8/2021,Comp,DL5C,Petrol,MANUAL,"₹ 340,000"
1956,"49,833 km",2008 Hyundai i10 MAGNA 1.2,July 2014,First Owner,15/1/2021,Comp,DL7C,Diesel,MANUAL,"₹ 125,000"
1957,"134,221 km",2011 Maruti Swift LDI BS IV,May 2009,Second Owner,27/2/2021,Third_party,DL9C,Petrol + CNG,MANUAL,"₹ 225,625"
1958,"31,838 km",2011 Toyota Etios V,July 2017,First Owner,15/8/2021,Zero Depreciation,DL7C,Diesel,MANUAL,"₹ 210,195"
1959,"49,279 km",2017 Renault Kwid RXL,May 2015,Second Owner,8/10/2021,Comprehensive,DL8C,Petrol,MANUAL,"₹ 255,000"
1960,"56,452 km",2011 Toyota Innova 2.5 G4 7 STR,February 2012,Second Owner,18/1/2021,Expired,HR26,Diesel,MANUAL,"₹ 418,071"
1961,"34,712 km",2014 Maruti Eeco 5 STR CNG WITH AC PLUSHTR,February 2015,First Owner,NA,Expired,DL5C,Petrol,MANUAL,"₹ 186,000"
1962,"14,756 km",2013 Hyundai Verna FLUIDIC 1.6 SX CRDI,March 2012,First Owner,22/5/2021,Insurance Expired,DL2C,Petrol,MANUAL,"₹ 400,000"
1963,"17,302 km",2014 Chevrolet Beat PS DIESEL,July 2018,First Owner,NA,Expired,DL9C,Petrol,MANUAL,"₹ 155,000"
1964,"60,289 km",2018 Tata NEXON XE,December 2012,Second Owner,23/11/2021,Comp,DL2C,Diesel,MANUAL,"₹ 499,800"
1965,"51,260 km",2017 Maruti Baleno DELTA 1.2 K12 ,December 2016,First Owner,NA,Insurance Expired,DL9C,Petrol,MANUAL,"₹ 516,000"
1966,"67,001 km",2016 Renault Kwid RXT,April 2011,First Owner,24/12/2020,Comp,DL8C,Diesel,MANUAL,"₹ 240,000"
1967,"52,652 km",2010 Honda Jazz 1.2 BASE I VTEC,November 2014,First Owner,NA,Zero Depreciation,DL4C,Petrol,MANUAL,"₹ 180,000"
1968,"27,041 km",2011 Honda City S MT PETROL,September 2018,Second Owner,20/5/2021,Comprehensive,DL8C,Petrol,MANUAL,"₹ 251,000"
